,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
8220,Rinatura Bio Fruchtriegel Feigen-Dattel,1.49,100 Gramm,Riegel 40 Gramm,edeka,3.73
8221,3 Glocken Feine Eiernudeln Buchstaben,0.75,100 Gramm,Beutel 250 Gramm,edeka,0.3
8222,3 Glocken Bandnudeln gedreht,1.29,100 Gramm,Beutel 500 Gramm,edeka,0.258
8223,3 Glocken Maccaroni,1.29,100 Gramm,Beutel 500 Gramm,edeka,0.258
8224,3 Glocken Bandnudeln gewellt,1.29,100 Gramm,Beutel 500 Gramm,edeka,0.258
8225,Gut & Gerne Vollkorn-Spaghetti,1.79,100 Gramm,Beutel 500 Gramm,edeka,0.358
8226,Gut & Gerne Vollkorn-Nudeln Spätzle,1.79,100 Gramm,Beutel 500 Gramm,edeka,0.358
8227,Gut & Gerne Dinkel-Bandnudeln,1.29,100 Gramm,Beutel 250 Gramm,edeka,0.516
8228,Gut & Gerne Dinkel-Spirelli,1.29,100 Gramm,Beutel 250 Gramm,edeka,0.516
8229,Gut & Gerne Soja Spirelli,2.49,100 Gramm,Beutel 500 Gramm,edeka,0.49800000000000005
8230,Gut & Gerne Tortellini mit Käse-Gemüse-Füllung,2.99,100 Gramm,Beutel 250 Gramm,edeka,1.2
8231,Mamma Lucia Teigwaren Tortiglioni,1.19,100 Gramm,Packung 500 Gramm,edeka,0.238
8232,reis-fit Spitzen-Langkorn-Reis 8 x 125 g - im Kochbeutel,2.79,100 Gramm,Packung 1000 Gramm,edeka,0.279
8233,reis-fit Spitzen Basmati-Reis,2.59,100 Gramm,Packung 500 Gramm,edeka,0.518
8234,Rinatura Bio Dinkel-Spaghetti,1.49,100 Gramm,Packung 250 Gramm,edeka,0.596
8235,Rinatura Bio Dinkel-Spätzle,1.49,100 Gramm,Beutel 250 Gramm,edeka,0.596
8236,Rinatura Bio Dinkel-Bandnudeln,1.49,100 Gramm,Beutel 250 Gramm,edeka,0.596
8237,Rinatura Bio Hartweizengriess-Spiralen,2.29,100 Gramm,Packung 500 Gramm,edeka,0.458
8238,Rinatura Bio Vollkorn-Hörnchen,1.59,100 Gramm,Packung 500 Gramm,edeka,0.318
8239,Rinatura Bio Soja-Spiralen,1.69,100 Gramm,Beutel 250 Gramm,edeka,0.6759999999999999
8240,Nosari Spaghetti Kurzform,1.39,100 Gramm,Packung 500 Gramm,edeka,0.27799999999999997
8241,Nosari Gigli Blütenkelch,1.79,100 Gramm,Packung 500 Gramm,edeka,0.358
8242,Nosari Gnocchi wellige Muscheln,1.39,100 Gramm,Packung 500 Gramm,edeka,0.27799999999999997
8243,Nosari Dischi Volanti Schnecken,1.29,100 Gramm,Packung 500 Gramm,edeka,0.258
8244,Nosari Rotelline Rädchen,1.29,100 Gramm,Packung 500 Gramm,edeka,0.258
8245,Nosari Amorosi Röhrchen gedrehte,1.39,100 Gramm,Packung 500 Gramm,edeka,0.27799999999999997
8246,Nosari Conchiglioni Muscheln,1.39,100 Gramm,Packung 500 Gramm,edeka,0.27799999999999997
8247,Nosari Fusilli Col Buco Gedrehte Maccaroni,1.79,100 Gramm,Packung 500 Gramm,edeka,0.358
8248,Nosari Rotelline Rädchen bunt,1.79,100 Gramm,Packung 500 Gramm,edeka,0.358
8249,"Nosari Galle Quadre Schmetterling, bunt",1.99,100 Gramm,Packung 500 Gramm,edeka,0.398
8250,Leverno Cannelloni,1.59,100 Gramm,Packung 250 Gramm,edeka,0.64
8251,Leverno Lasagne grün (mit Spinat),2.19,100 Gramm,Packung 500 Gramm,edeka,0.438
8252,Leverno Lasagne gelb,1.59,100 Gramm,Packung 500 Gramm,edeka,0.318
8253,Sabita Zironengras-Bandnudenln,1.79,100 Gramm,Packung 250 Gramm,edeka,0.716
8254,Lien Ying Glasnudeln aus Mungobohnenmehl,1.39,100 Gramm,Packung 100 Gramm,edeka,1.39
8255,Lien Ying Wok-Eier-Nudeln ohne Vorkochen,1.69,100 Gramm,Packung 250 Gramm,edeka,0.68
8256,Kattus Pasta Spaghetti Vollkorn,1.79,100 Gramm,Beutel 500 Gramm,edeka,0.358
8257,Kattus Pasta Tagliatelle weiß,1.89,100 Gramm,Packung 500 Gramm,edeka,0.378
8258,Barilla Pasta No. 8 Spaghetti No.8,1.49,100 Gramm,Packung 500 Gramm,edeka,0.298
8259,Barilla La Collezione Lasagne,1.99,100 Gramm,Packung 500 Gramm,edeka,0.398
8260,Bad Reichenhaller Markensalz Steak- und Grillsalz,1.59,100 Gramm,Packung 90 Gramm,edeka,1.77
8261,Gut & Gerne Balsamico Bianco,2.99,100 ml,Flasche Glas 250 ML,edeka,1.1960000000000002
8262,Gut & Gerne Bio Crema Di Balsamico,4.89,100 ml,Flasche Glas 250 ML,edeka,1.96
8263,Gut & Gerne Apfelessig naturtrüber,2.29,100 ml,Flasche Glas 750 ML,edeka,0.305
8264,Gut & Gerne Pesto Mediterano,2.59,100 Gramm,Glas 125 Gramm,edeka,2.07
8265,Liakada Gewürzzubereitung Fleisch und Gyros,1.49,100 Gramm,Glas 27 Gramm,edeka,5.52
8266,Rinatura Bio Balsamico-Essig,2.49,100 ml,Flasche Glas 250 ML,edeka,1.0
