,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
3180,finish Powerball Classic,6.99,Preis pro Waschladung,XL Packung 44 Wäschen,lidl,0.16
3181,Weißer Riese Kraft Pulver 5,1.59,100 Gramm,Packung 460 Gramm,lidl,0.35
3182,"Danone Dany Sahne 4-er Magische Momente Kirsche, 4 x 115 g",7.99,Preis pro Waschladung,XL Pack 66 Waschladungen,lidl,0.12
3183,Coral Optimal Color Feinwaschmittel 5 L Super Maxi Pack,9.99,100 Gramm,Packung 1000 Gramm,lidl,0.999
3184,Melitta Mein Cafe Medium Roast,1.39,100 Gramm,Packung 185 Gramm,lidl,0.75
3185,Wagner Rustipani Kerniges Ofenbrot Meditterrane Kirschtomaten,1.49,100 Gramm,Packung 127.5 Gramm,lidl,1.17
3186,Philadelphia Dip & Snack Kräuter,0.85,100 Gramm,Becher 150 Gramm,lidl,0.57
3187,Philadelphia Free Heidelbeere & Brombeere,1.25,100 Gramm,Dose 200 Gramm,lidl,0.63
3188,Appel Wellness Heringfilets Balance,0.99,100 Gramm,Beutel 150 Gramm,lidl,0.66
3189,Lays Sensations Premium Potato Chips Red Sweet Paprika,1.79,100 Gramm,Beutel 200 Gramm,lidl,0.9
3190,Barilla Penne Rigate,0.69,100 Gramm,Packung 500 Gramm,lidl,0.13799999999999998
3191,Jacobs Krönung Mild,4.29,100 Gramm,Packung 500 Gramm,lidl,0.858
3192,Martini Bianco 15 % Vol.,5.49,100 ml,Flasche Glas 750 ML,lidl,0.732
3193,dusch das Duschgel For Men,1.79,100 ml,Vorteilspack 3 x 250ml,lidl,0.24
3194,Jacobs Krönung Gold,6.66,100 Gramm,Glas 200 Gramm,lidl,3.33
3195,Langnese Sonnenblumen Honig mit Sommertracht,3.49,100 Gramm,Glas 375 Gramm,lidl,0.931
3196,"Franziskaner Hefe Weissbier Hell 6-er Träger,  6 x 0,5 L",4.29,100 ml,Pack 3 L,lidl,0.143
3197,Vernel Aroma Therapie Refresh,1.99,100 ml,Flasche Kunststoff 750 ML,lidl,0.265
3198,Ariel Pulver Waschmittel Compact Color & Style,8.79,Preis pro Waschladung,Flasche Kunststoff 44 Waschladungen,lidl,0.2
3199,Knorr Steinpilz Cremesuppe Ergibt 0.5 L = 2 Teller,1.25,100 ml,Pet-Flasche 1.5 L,lidl,0.08299999999999999
3200,Lipton Ice Tea Lemon,9.99,100 ml,Flasche Glas 0.7 L,lidl,1.427
3201,Fernet Branca,1.45,100 ml,Packung 400 ml,lidl,0.36
3202,"Schauma  Shampoo Repair & Pflege, 2 x 250 ml",1.79,100 Gramm,Beutel 175 Gramm,lidl,1.02
3203,Lorenz Crunchips leicht Creme fraiche,1.79,100 Gramm,Packung 250 Gramm,lidl,0.72
3204,Warsteiner Premium Verum Partydose,6.99,100 ml,Dose 5 L,lidl,0.13999999999999999
3205,Amarula Wild Fruit Cream Liqueur,9.99,100 ml,Flasche Glas 0.7 L,lidl,1.427
3206,"Ehrmann Almighurt Erdbeer, 0,1 % Fett",0.43,100 Gramm,Becher 150 Gramm,lidl,0.29
3207,Lorenz Peppies Snack-Speck Bacon,0.99,100 Gramm,Beutel 75 Gramm,lidl,1.32
3208,"Fol Epi Hauchfein Pfeffer, 50 % Fett",2.19,100 Gramm,Packung 100 Gramm,lidl,2.19
3209,Barilla Pesto Olive e Capperi,2.89,100 Gramm,Glas 200 Gramm,lidl,1.45
3210,Pepsi Max Energy cola,0.89,100 ml,Pet-Flasche 1.5 L,lidl,0.059
3211,Lavazza Qualita Rossa,10.99,100 Gramm,Packung 1000 Gramm,lidl,1.099
3212,Meßmer Pfefferminze Tee,1.55,Preis pro Stück,Packung 25 Stück,lidl,0.06
3213,Sierra Tequila Silver,9.99,100 ml,Flasche Glas 0.7 L,lidl,1.427
3214,Malibu Caribbean Rum mit Kokosnuss,9.99,100 ml,Flasche Glas 0.7 L,lidl,1.427
3215,Garnier SpülKur Color Schutz,2.95,100 ml,Flasche Kunststoff 250 ML,lidl,1.18
3216,Kuschelweich Weichspüler Karibischer Traum,1.25,100 ml,Flasche Kunststoff 1000 ML,lidl,0.026000000000000002
3217,"Emmi Griess Töpfli Classic, mit Sahne",0.49,100 Gramm,Becher 175 Gramm,lidl,0.28
3218,L Oreal Elvital  Spülung Color Glanz,2.95,100 ml,Flasche Kunststoff 200 ML,lidl,1.48
3219,Coca Cola Cherry Kirsch,0.95,100 ml,Pet-Flasche 1.25 L,lidl,0.076
3220,Eridanous Lidl Teigtaschen Käse,2.79,100 Gramm,Packung 1000 Gramm,lidl,0.28
3221,Sasso Olivenöl Extra Vergine,5.55,100 ml,Kanister 1000 ML,lidl,0.5549999999999999
3222,Brunch Brotaufstrich Tomate Ricotta,1.29,100 Gramm,Becher 200 Gramm,lidl,0.65
3223,Persil Color Gel Leuchtkraftformel,16.99,Preis pro Waschladung,"Pack 2 x 50 Wäschen Fläschen, 2 x 3,65l",lidl,0.17
3224,Danone Dany Sahne Toffee Kuss 4-er Schoko Toffee 4 x 115 g,1.59,100 Gramm,Packung 460 Gramm,lidl,0.35
3225,Dr. Oetker Ristorante Pizza Arrabbiata,4.29,100 ml,Flasche Glas 500 ML,lidl,0.858
3226,Bertolli Olio Di Oliva Das Besonders Milde,3.99,100 Gramm,Packung 500 Gramm,lidl,0.798
3227,Jacobs Balance,2.79,100 Gramm,"Packung 220 Gramm, +10% mehr Inhalt",lidl,1.268
3228,Ferrero Kinder Friends,1.99,Preis pro 100 Stück,Packung 80 Stück,lidl,2.49
3229,W5 Feuchte Allzwecktücher Orange,0.75,100 ml,Tube 75 ML,lidl,1.0
3230,Belbake Fruchtschnitten Kirsch,1.69,100 Gramm,Packung 125 Gramm,lidl,1.35
3231,Belbake Schweineohren mit 25% Zartbitterschokolade,1.69,100 Gramm,Packung 125 Gramm,lidl,1.35
3232,Belbake Fruchtschnitten Aprikose-Marzipan,0.99,100 Gramm,Packung 400 Gramm,lidl,0.248
3233,Melangerie Diät Konfitüre Extra Erdbeere,1.99,100 Gramm,Packung 500 Gramm,lidl,0.398
3234,Melangerie Diät Konfitüre Extra Sauerkirsch,1.29,100 Gramm,Glas 300 Gramm,lidl,0.43
3235,Confiserie Firenze Kleingebäck Florentiner mit Milchschokolade,1.29,100 Gramm,Glas 300 Gramm,lidl,0.43
