,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
1731,Sun Snacks Stängli Käse,0.99,100 Gramm,Packung 150 Gramm,aldi-nord,0.66
1732,Rätzel Hausmacher Leberwurst,1.29,100 Gramm,Glas 250 Gramm,aldi-nord,0.52
1733,Aldi Nord Schwäbische Frischei-Nudeln,0.69,100 Gramm,Packung 500 Gramm,aldi-nord,0.13799999999999998
1734,"Lindtmanns Lieblings Suppe Kartoffelsuppe, wie hausgemacht",1.99,100 Gramm,Packung 500 Gramm,aldi-nord,0.398
1735,Ponnath Intermezzo Hähnchenbrustfiletroulade,1.49,100 Gramm,Packung 350 Gramm,aldi-nord,0.426
1736,"Schmälzle Aldi Nord Premium Fleischwurst Classic,  2 x 175 g",1.49,100 Gramm,Packung 350 Gramm,aldi-nord,0.426
1737,"Schmälzle Aldi Nord Premium Fleischwurst Geflügel,  2 x 175 g",0.69,100 Gramm,Packung 200 Gramm,aldi-nord,0.35
1738,Pieper Brotzeit Landzungenwurst,0.95,100 Gramm,Packung 200 Gramm,aldi-nord,0.48
1739,Pieper Brotzeit Landcervelatwurst,3.53,100 Gramm,Vakuum 402 Gramm,aldi-nord,0.88
1740,Schmälzle Aldi Nord Premium Lyoner gebacken mit frischem Paprika,1.19,100 Gramm,Vakuum 100 Gramm,aldi-nord,1.19
1741,Schmälzle Aldi Nord Premium Bierschinken gebacken,1.19,100 Gramm,Vakuum 100 Gramm,aldi-nord,1.19
1742,Abraham Landschinken mild geräuchert,1.79,100 Gramm,Vakuum 150 Gramm,aldi-nord,1.19
1743,Stockmeyer Snacksalami mit aromatischen Walnüssen,1.59,100 Gramm,Packung 125 Gramm,aldi-nord,1.27
1744,Stockmeyer Snacksalami mit Brie-Käse,1.59,100 Gramm,Packung 125 Gramm,aldi-nord,1.27
1745,Lambertz Gebäck Waffelmischung,0.99,100 Gramm,Beutel 500 Gramm,aldi-nord,0.198
1746,"Vossko Hähnchenmedaillons Supreme, 4 - 5 Stück",3.39,100 Gramm,Packung 500 Gramm,aldi-nord,0.678
1747,Cucina Mortadella,1.45,100 Gramm,Packung 100 Gramm,aldi-nord,1.45
1748,Weimarer Thüringen 8 rohe Thüringer,4.49,100 Gramm,Packung 800 Gramm,aldi-nord,0.561
1749,Elbflorenz Edle Obstbrände in zarter Kruste,1.99,100 Gramm,Packung 175 Gramm,aldi-nord,1.14
1750,Könecke Geflügelfleischwürstchen 6 Stück,1.89,100 Gramm,Glas 550 Gramm,aldi-nord,0.34
1751,Breffod Kaninchen aus Bodenhaltung,7.49,100 Gramm,Packung 1150 Gramm,aldi-nord,0.651
1752,Dunagut / Aldi Nord Gänsekeulen Ungarn / Polen,10.49,100 Gramm,Folie 1000 Gramm,aldi-nord,1.049
1753,Zimmermann Hirschgulasch,2.99,100 Gramm,Dose 400 Gramm,aldi-nord,0.75
1754,Zimmermann Wildtopf mit Waldpilzen,2.99,100 Gramm,Dose 400 Gramm,aldi-nord,0.748
1755,Zaranoff Wodka,4.99,100 ml,Flasche Glas 0.75 L,aldi-nord,0.665
1756,Kuchenmeister Rondana,0.99,100 Gramm,Folie 250 Gramm,aldi-nord,0.396
1757,AMI Gänsebrustfilet gewürzt mariniert,4.99,100 Gramm,Packung 400 Gramm,aldi-nord,1.248
1758,Wilhelm Brandenburg Kalbschnitzel aus der Oberschale,3.29,100 Gramm,Packung 100 Gramm,aldi-nord,3.29
1759,Rondo Melange,1.89,100 Gramm,Packung 200 Gramm,aldi-nord,0.95
1760,Burg Keks Taler,0.95,100 Gramm,Schale 500 Gramm,aldi-nord,0.19
1761,Erdbeeren frisch,1.99,100 Gramm,Packung 500 Gramm,aldi-nord,0.398
1762,Lindtmanns Lieblings Suppe Perlgräupchen,0.49,100 ml,Packung 200 ML,aldi-nord,0.25
