,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
112,Ja! Nougat Bits,1.99,100 Gramm,Packung 750 Gramm,rewe,0.265
113,ja! Distelöl,1.99,100 ml,Flasche Kunststoff 750 ML,rewe,0.265
114,Ja! Baguette mit Kräuterbutter und Knoblauch,0.59,100 Gramm,Packung 175 Gramm,rewe,0.34
115,ja! Edelrahm Trauben-Nuss Schokolade,1.39,100 Gramm,Tafel 200 Gramm,rewe,0.7
116,Händlmaiers Hausmachersenf Süßer,1.79,100 ml,Glas 335 ML,rewe,0.53
117,Ja! Markenbutter mild gesäuert,1.39,100 Gramm,Packung 250  Gramm,rewe,0.56
118,Ja!  Krautsalat mit Paprika,1.49,100 Gramm,Becher 1000 Gramm,rewe,0.149
119,Ja! Tomaten Ketchup,0.55,100 ml,Flasche Glas 450 ML,rewe,0.122
120,Ja! Körniger Frischkäse 20% Fett,0.59,100 Gramm,Becher 200  Gramm,rewe,0.3
121,Ja! Speisequark 40 % Fett,0.49,100 Gramm,Becher 250  Gramm,rewe,0.2
122,Ja!  Salat Mayonnaise 50% Fett,0.79,100 ml,Glas 500 ML,rewe,0.158
123,Ja! Reine Buttermilch,0.39,100 Gramm,Becher 500 Gramm,rewe,0.078
124,"Ja! Kondensmilch 7,5% Fett",0.56,100 Gramm,Packung 340 Gramm,rewe,0.16
125,Ja! Teilentrahmte Kondensmilch 4% Fett,0.5,100 Gramm,Packung 340  Gramm,rewe,0.15
126,"ja! Bockwürstchen in Zarter Eigenhaut, 8 Stück",1.99,100 Gramm,Glas 535 Gramm,rewe,0.372
127,Dr. Oetker Rote Grütze herrlich fruchtig,2.29,100 Gramm,Becher 500 Gramm,rewe,0.458
128,Ja! Sonnenblumenöl,0.99,100 ml,Flasche Kunststoff 1000  ML,rewe,0.099
129,Schöfferhofer Grapefruit,3.49,100 ml,Pack 1.98 L,rewe,0.176
130,Ja! Schmelzkäsezubereitung Sahne,0.99,100 Gramm,Packung 200 Gramm,rewe,0.5
131,ja! Natives Olivenöl Extra,3.59,100 ml,Flasche Glas 750 ML,rewe,0.479
132,"ja! Schwarzwälder Schinken geschnitten, in Scheiben",1.99,100 Gramm,Vakuum 200 Gramm,rewe,1.0
133,ja! Reines Rapsöl,0.99,100 ml,Flasche Kunststoff 1 L,rewe,0.099
134,Ja! H-Schlagsahne 30 % Fett,0.63,100 Gramm,Getränkekarton 200  Gramm,rewe,0.32
135,Ja! Konfitüre extra Aprikosen,0.99,100 Gramm,Glas 450 Gramm,rewe,0.22
136,"Ja! fettarmer Joghurt mild 1,5% Fett",0.49,100 Gramm,Becher 500 Gramm,rewe,0.098
137,Ja! Speisequark 20% Fett,0.49,100 Gramm,Becher 250  Gramm,rewe,0.2
138,"Ja!  Frische Vollmilch 3,5% Fett",0.73,100 ml,Getränkekarton 1 L,rewe,0.073
139,Ja! Saure Sahne 10 % Fett,0.39,100 Gramm,Becher 200  Gramm,rewe,0.2
140,"ja! Joghurt Kirsche, 1,8 % Fett",0.99,100 ml,Getränkekarton 1000 ML,rewe,0.099
141,"Rewe Joghurt Mild Apfel Granatapfel, 3,5 % Fett",1.29,100 ml,Flasche Glas 750 ML,rewe,0.172
142,"REWE frei von Fettarme H Milch Laktosefrei  1,5%",1.35,100 Gramm,Becher 400 Gramm,rewe,0.33799999999999997
143,Thomy Sonnenblumenöl,0.99,100 ml,Flasche Glas 500 ML,rewe,0.2
144,Ja! Dill Sahne Heringsfilets,2.39,100 Gramm,Packung 100 Gramm,rewe,2.39
145,ja! Dressing Sylter Art,1.29,100 Gramm,Packung 400 Gramm,rewe,0.323
146,Ja! Butter Toastbrot geschnitten,0.69,100 Gramm,Beutel 500 Gramm,rewe,0.13799999999999998
147,Ja! Delikatess Fleischsalat,0.99,100 Gramm,Becher 400 Gramm,rewe,0.25
148,ja! Sahne Kefir Heidelbeere,0.45,100 Gramm,Becher 250 Gramm,rewe,0.18
149,Ja! Butterkäse,1.99,100 Gramm,Packung 400 Gramm,rewe,0.5
150,REWE Beste Wahl Creme Fraiche 30 % Fett,0.59,100 Gramm,Becher 200 Gramm,rewe,0.3
151,"Rewe Bio Frische Vollmilch 3,8% Fett",1.09,100 ml,Getränkekarton 1 L,rewe,0.10900000000000001
152,ja Mini Brezeln,0.59,100 Gramm,Beutel 250 Gramm,rewe,0.24
153,"Ja! Deutscher Gouda jung in Scheiben,  48 % Fett",1.99,100 Gramm,Packung 400 Gramm,rewe,0.5
154,Ja! Milchreis,0.59,100 Gramm,Beutel 500 Gramm,rewe,0.118
155,ja! Delikatess Bacon in Scheiben,1.19,100 Gramm,Folie 100 Gramm,rewe,1.19
156,Tillmans Kebab aus Rindfleisch - tiefgefroren,2.89,100 Gramm,Packung 400 Gramm,rewe,0.7230000000000001
157,Kölln Blütenzarte Köllnflocken,1.29,100 Gramm,Packung 500 Gramm,rewe,0.258
158,Gervais Hüttenkäse Original,1.29,100 Gramm,Becher 200 Gramm,rewe,0.65
159,Milka Alpenmilch Schokolade,1.69,100 Gramm,Tafel 300 Gramm,rewe,0.56
160,Rewe Bio Dinkel Flakes,3.19,100 Gramm,Packung 500 Gramm,rewe,0.638
161,ja! Linsen Eintopf,0.99,100 Gramm,Dose 800 Gramm,rewe,0.124
162,Kerrygold Original Irische Butter mildgesäuert,2.49,100 Gramm,Packung 250  Gramm,rewe,1.0
163,Rama Margarine Classic,0.99,100 Gramm,Becher 500  Gramm,rewe,0.198
164,Zimmermann Münchner Weißwürste,2.29,100 Gramm,"Packung 300 Gramm, 5 x 60g",rewe,0.76
165,Barilla Spaghetti No.5,0.69,100 Gramm,Packung 500 Gramm,rewe,0.13799999999999998
166,Ja! Ananas Stücke leicht gezuckert,0.79,100 ml,Dose 580 ML,rewe,0.136
167,Followfish Bio-Lachs,4.99,100 Gramm,Packung 200 Gramm,rewe,2.5
168,ja! Frische Bratwürste grobe roh,1.99,100 Gramm,Packung 400 Gramm,rewe,0.49800000000000005
169,Ja! Konfitüre extra Sauerkirsch,0.99,100 Gramm,Glas 450 Gramm,rewe,0.22
170,Ja! Ganze Haselnüsse,2.19,100 Gramm,,rewe,1.1
171,ja! Spaghetti,0.39,100 Gramm,Beutel 500 Gramm,rewe,0.078
172,TopMare Premium Räucherlachs in Scheiben,3.29,100 Gramm,Vakuum 200 Gramm,rewe,1.65
