,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
1619,Feigen frisch,1.59,100 Gramm,Packung 500 Gramm,aldi-sued,0.318
1620,fit For Fun Vollkornbrot vollkorn plus,1.39,100 Gramm,Packung 500 Gramm,aldi-sued,0.27799999999999997
1621,Bananen ca. 6 Stück,0.99,100 Gramm, 1 KG,aldi-sued,0.099
1622,Zuckermais frisch,0.99,Preis pro Stück,Folie 2 Stück,aldi-sued,0.5
1623,Deutscher Spargel weiss frisch,1.89,100 Gramm,Packung 500 Gramm,aldi-sued,0.378
1624,Nektarinen gelbfleischig,0.69,100 Gramm, 1 KG,aldi-sued,0.06899999999999999
1625,Krakauer Land Polnische Hafermast Gans A,21.96,100 Gramm,Folie 4400 Gramm,aldi-sued,0.499
1626,Westfalen Land Lammrücken in Kräuterbuttermarinade,12.3,100 Gramm,Packung 410 Gramm,aldi-sued,3.0
1627,Maronen frisch,1.89,100 Gramm,"Packung 820 Gramm, 20 x 41 g ",aldi-sued,0.23
1628,Storck Nimm 2 Lolly 8 Stück,1.89,100 Gramm,"Packung 820 Gramm, 20 x 41 g",aldi-sued,0.23
1629,Balisto Joghurt-Beeren-Mix,1.89,100 Gramm,"Packung 820 Gramm, 20 x 41 g ",aldi-sued,0.23
1630,Balisto Müsli Mix,2.45,100 Gramm,"Packung 800 Gramm, 8 x 100 g",aldi-sued,0.306
1631,Balisto Korn Mix,1.19,100 Gramm,Schale 500 Gramm,aldi-sued,0.238
1632,"Danone Actimel Classic, 0,1% Fett",1.69,100 Gramm,Packung 410 Gramm,aldi-sued,0.41200000000000003
1633,Weiße Champignon frisch,5.49,100 Gramm,Packung 500 Gramm,aldi-sued,1.1
1634,Wagner Big Pizza Supreme,1.19,100 Gramm,Beutel 175 Gramm,aldi-sued,0.68
1635,Genuss der Saison Feinste Belgische Pralinen,0.89,100 Gramm,Beutel 75 Gramm,aldi-sued,1.19
1636,Funny Frisch Chipsfrisch Oriental,3.99,100 ml,Flasche Glas 0.75 L,aldi-sued,0.532
1637,Pom-Bär Original,3.49,100 Gramm,Packung 900 Gramm,aldi-sued,0.388
1638,Mumm Extra Dry Sekt trocken,2.19,100 Gramm,Packung 600 Gramm,aldi-sued,0.365
1639,Schwartau Extra Samt Himbeere,1.39,100 Gramm,Glas 270 Gramm,aldi-sued,0.51
1640,Chantre Weinbrand 36% Vol.,6.99,100 ml,Flasche Glas 0.7 L,aldi-sued,0.999
1641,"bio Vollkorn Bratlinge Italienische Art, 2 x 100 g",1.79,100 Gramm,Packung 200 Gramm,aldi-sued,0.9
1642,"bio Vollkorn Bratlinge Mexikanische Art, 2 x 100 g",1.79,100 Gramm,Packung 200 Gramm,aldi-sued,0.9
1643,"Aldi Süd bio Apfelsaft Direktsaft, naturtrüb",1.19,100 ml,Getränkekarton 1 L,aldi-sued,0.119
1644,Aldi Süd bio Orangensaft aus Orangensaftkonzentrat mit Fruchtfleisch,1.29,100 ml,Getränkekarton 1 L,aldi-sued,0.129
1645,Caribic Creme Seife flüssig Mango & Kokosmilch,0.65,100 ml,Spenderflasche 500 ML,aldi-sued,0.13
1646,Riggano Die Pizza-Frische Peperoni-Salami,1.79,100 Gramm,Packung 400 Gramm,aldi-sued,0.45
1647,Beneval Frischkäse-Fass Natur - Cremiger,0.99,100 Gramm,Becher 200 Gramm,aldi-sued,0.5
1648,"Aldi Süd Lamm Filets Mariniert, 4 - 6 Filets",6.99,100 Gramm,Packung 400 Gramm,aldi-sued,1.748
1649,Aldi Süd Marinierte Putensteaks Paprika,6.79,100 Gramm,Schale 1000 Gramm,aldi-sued,0.679
1650,Aldi Süd Marinierte Hähnchensteaks Paprika,6.79,100 Gramm,Packung 1000 Gramm,aldi-sued,0.68
1651,"Havarti Original Dänischer Schnittkäse Mexiko, in Scheiben, 55% Fett",1.69,100 Gramm,Packung 250 Gramm,aldi-sued,0.68
1652,Zekol Glasreiniger Citrus fresh,0.99,100 ml,Sprühflasche 1000 ML,aldi-sued,0.099
1653,"American Wraps Chili Beef,  2 x 150 g",1.79,100 Gramm,Packung 300 Gramm,aldi-sued,0.6
1654,Wonnemeyer Feinkost Premium Sandwich Pute,1.59,100 Gramm,Packung 170 Gramm,aldi-sued,0.94
1655,Aldi Süd bio Sonnenblumenbrot,0.99,100 Gramm,Packung 500 Gramm,aldi-sued,0.198
1656,Aldi Süd bio Dreikornbrot,0.99,100 Gramm,Packung 500 Gramm,aldi-sued,0.198
1657,Optiwisch Feuchte Allzwecktücher Apfelduft,1.59,Preis pro 100 Stück,Packung 80 Stück,aldi-sued,1.99
1658,Mamia Junior Pants 5 Größe  5 ( 13 - 25 kg ),7.49,Preis pro 100 Stück,Packung 28 Stück,aldi-sued,26.75
1659,Mamia Junior Pants 5 Stretch 12 - 25 kg,7.49,Preis pro 100 Stück,Packung 44 Stück,aldi-sued,17.02
1660,bio Aldi Süd Sonnenblumenbrot mit Sonnenblumenkernen,0.99,100 Gramm,Beutel 750 Gramm,aldi-sued,0.132
1661,Vivachol / Aldi Süd Halbfett Margarine Cholesterinsenkende,1.79,100 Gramm,Packung 500 Gramm,aldi-sued,0.358
1662,Aldi Süd Penne Gorgonzola,3.49,100 ml,Flasche Glas 0.75 L,aldi-sued,0.465
1663,Aldi Süd Cava Delmora halbtrocken,2.39,100 Gramm,Packung 500 Gramm,aldi-sued,0.47800000000000004
1664,Aldi Süd Bayerischer Leberkäse Küchenfertig zum Selberbacken,0.59,100 ml,Flasche Kunststoff 1.5 L,aldi-sued,0.039
1665,rio d oro Apfelnektar,0.99,100 ml,Getränkekarton 1 L,aldi-sued,0.099
1666,rio d oro Drink Frucht Erdbeer-Banane,1.79,100 ml,Pack 3  L,aldi-sued,0.06
